,driverId,year,DNF_rate,ref,constructor,constructorRef,position_delta,high_alt_sucess_rate,team_avg_position,dvt,finish_volatility,years_active,top10,avg_finish,races_entered,max_races_in_season,season_fraction,total_points,fv_terciles,dvt_terciles,logit_dnf,logit_top10
0,3,2014,0.1578947368421052,rosberg,131,mercedes,-0.8235294117647058,1.0,1.9210526315789471,-0.3166800966962127,2.952917740708502,0,0.9411764705882352,2.5294117647058822,19,19,1.0,317.0,Medium,low,-1.5505974124111674,2.4304184645039286
1,18,2014,0.3157894736842105,button,1,mclaren,0.8333333333333339,0.5,8.710526315789474,0.1389728096676737,3.6704525909242065,0,0.7222222222222222,7.5,19,19,1.0,126.0,High,high,-0.7308875085427923,0.9007865453381894
2,4,2014,0.1052631578947368,alonso,6,ferrari,1.1764705882352935,0.5,7.473684210526316,0.2758906379453189,1.8168759072330003,0,1.0,5.411764705882353,19,19,1.0,161.0,Low,high,-1.9459101490553135,3.6635616461296454
3,822,2014,0.1052631578947368,bottas,3,williams,0.2777777777777777,0.5,6.157894736842105,0.0978157644824311,2.650413431528125,0,0.9444444444444444,5.555555555555555,19,19,1.0,186.0,Medium,high,-1.9459101490553135,2.472930458741284
4,807,2014,0.2105263157894736,hulkenberg,10,force_india,3.235294117647059,0.0,8.058823529411764,0.0437956204379561,2.2948716709566073,0,0.8823529411764706,7.705882352941177,19,19,1.0,96.0,Low,high,-1.2367626271489274,1.842425326674841
5,8,2014,0.3684210526315789,raikkonen,6,ferrari,-0.2777777777777768,0.5,7.473684210526316,-0.226525821596244,2.3392781412696997,0,0.7222222222222222,9.166666666666666,19,19,1.0,55.0,Low,low,-0.5108256237659907,0.9007865453381894
6,818,2014,0.4736842105263157,vergne,5,toro_rosso,0.7857142857142865,0.0,11.088235294117649,0.053050397877984,2.1957751641342003,0,0.5,10.5,19,19,1.0,22.0,Low,high,-0.10008345855698285,0.0
7,826,2014,0.6842105263157895,kvyat,5,toro_rosso,0.4285714285714288,0.5,11.088235294117649,-0.0435771125426297,2.094696899802168,0,0.3571428571428571,11.571428571428571,19,19,1.0,8.0,Low,medium,0.7308875085427926,-0.5568107370078144
8,815,2014,0.5263157894736842,perez,10,force_india,3.2666666666666657,0.5,8.058823529411764,-0.1002433090024331,2.6549743668986507,0,0.8,8.866666666666667,19,19,1.0,59.0,Medium,low,0.10008345855698263,1.2950456896547458
9,821,2014,0.9473684210526316,gutierrez,15,sauber,0.9230769230769234,0.5,14.666666666666666,-0.0279720279720279,1.979181589272093,0,0.0,15.076923076923077,19,19,1.0,0.0,Low,medium,2.5123056239761152,-3.6635616461296463
10,820,2014,0.9375,chilton,206,marussia,3.384615384615387,0.0,15.964285714285714,-0.0118740320082602,1.9153691689213432,0,0.0,16.153846153846153,16,19,0.8421052631578947,0.0,Low,medium,2.3353749158170363,-3.4965075614664802
11,828,2014,0.9375,ericsson,207,caterham,3.18181818181818,0.0,16.642857142857142,-0.0323839250877878,2.724240738867581,0,0.0,17.181818181818183,16,19,0.8421052631578947,0.0,Medium,medium,2.3353749158170363,-3.4965075614664802
12,20,2014,0.1578947368421052,vettel,9,red_bull,2.4375,0.5,4.444444444444445,-0.1390624999999999,1.7842628029525245,0,1.0,5.0625,19,19,1.0,167.0,Low,low,-1.5505974124111674,3.6635616461296454
13,1,2014,0.1578947368421052,hamilton,131,mercedes,3.25,0.0,1.9210526315789471,0.2517123287671233,0.7043392293490404,0,1.0,1.4375,19,19,1.0,384.0,Low,high,-1.5505974124111674,3.6635616461296454
14,817,2014,0.1052631578947368,ricciardo,9,red_bull,2.6875,0.0,4.444444444444445,0.15625,1.9525624189766635,0,1.0,3.75,19,19,1.0,238.0,Low,high,-1.9459101490553135,3.6635616461296454
15,827,2014,1.0,lotterer,207,caterham,1.0,0.3333333333333333,16.642857142857142,-0.0020833333333332,2.770102775666474,0,0.6,9.944444444444445,1,19,0.05263157894736842,0.0,High,high,1.0986122886681098,0.38656095346901176
16,16,2014,0.8947368421052632,sutil,15,sauber,-0.75,0.5,14.666666666666666,0.0,2.6874192494328497,0,0.0,14.666666666666666,19,19,1.0,0.0,Medium,medium,1.9459101490553132,-3.6635616461296463
17,813,2014,0.7894736842105263,maldonado,208,lotus_f1,4.384615384615385,1.0,13.0,-0.0532544378698224,2.3331924443235543,0,0.0769230769230769,13.692307692307692,19,19,1.0,2.0,Low,low,1.2367626271489272,-2.218777135721954
18,155,2014,0.9375,kobayashi,207,caterham,3.444444444444443,0.0,16.642857142857142,0.0519790176442536,1.9309052441091965,0,0.0,15.77777777777778,16,19,0.8421052631578947,0.0,Low,high,2.3353749158170363,-3.4965075614664802
19,829,2014,1.0,stevens,207,caterham,0.0,0.3333333333333333,16.642857142857142,-0.0214592274678111,0.0,0,0.0,17.0,1,19,0.05263157894736842,0.0,Low,medium,1.0986122886681098,-1.0986122886681098
